Bucket,Ticker,Name,PM Action,Signal,Risk Score,Risk Tier,P/NAV,NII Coverage,Non-Accrual (FV),NAV Chg YoY,Leverage D/E,Borrower Transmission,Transmission Snapshot,Why Now,What Changes View,As Of
Overweight core,BXSL,Blackstone Secured Lending Fund,Overweight core,Buy,2,GREEN,0.92x,1.12x,0.9%,1.0%,1.29,"Zendesk, Inc., Flexera Software LLC","Zendesk, Inc. (YELLOW, 7 funds, $609.7M FV); Flexera Software LLC (YELLOW, 7 funds, $453.2M FV)",Large-scale first-lien lender with good credit stats and cleaner underwriting than the discounted trouble spots.,Meaningful credit slippage without corresponding valuation reset.,2026-04-19 20:21
Overweight core,ARCC,Ares Capital Corporation,Overweight core,Hold,1,GREEN,0.96x,1.15x,0.6%,2.0%,1.12,"Pluralsight, LLC, Flexera Software LLC","Pluralsight, LLC (RED, 7 funds, $683.9M FV); Flexera Software LLC (YELLOW, 7 funds, $453.2M FV)","Benchmark-quality platform with clean credit metrics, positive NAV trend, and low live non-accruals.",A real rise in non-accruals or a clear deterioration in earnings coverage.,2026-04-19 20:21
Overweight core,TSLX,"Sixth Street Specialty Lending, Inc.",Overweight core,Hold,1,GREEN,1.14x,1.28x,0.1%,-1.1%,1.08,,,Still one of the cleanest public credit-quality names in the universe with strong coverage and negligible non-accruals.,Coverage or credit quality cracking visibly across consecutive filings.,2026-04-19 20:21
Overweight core,MAIN,Main Street Capital Corporation,Overweight but valuation-aware,Hold,0,GREEN,1.64x,1.44x,2.2%,6.0%,0.82,,,"Best-in-class franchise, excellent coverage, and sustained NAV compounding justify premium status.",A meaningful premium compression or evidence that fundamentals no longer justify the valuation.,2026-04-19 20:21
Overweight selectively,OTF,Blue Owl Technology Finance Corp,Selective add,Strong Buy,4,GREEN,0.70x,0.95x,0.6%,1.4%,0.78,"Pluralsight, LLC, Kaseya, Inc., Zendesk, Inc., Flexera Software LLC","Pluralsight, LLC (RED, 7 funds, $683.9M FV); Kaseya, Inc. (ORANGE, 9 funds, $405.5M FV); Zendesk, Inc. (YELLOW, 7 funds, $609.7M FV); Flexera Software LLC (YELLOW, 7 funds, $453.2M FV)",Low leverage and low non-accruals make this the cleanest deep-discount opportunity in the pack.,Coverage continues slipping below 1.0x without offsetting NAV resilience.,2026-04-19 20:21
Overweight selectively,HTGC,Hercules Capital,Overweight selectively,Hold,2,GREEN,1.32x,1.05x,0.5%,3.0%,1.03,,,"Strong platform with good coverage, but venture and life-science exposure makes the risk profile different from first-lien peers.",PIK mix or venture stress worsening while the valuation premium stays elevated.,2026-04-19 20:21
Hold / neutral,CGBD,Carlyle Secured Lending,Hold,Buy,6,YELLOW,0.73x,0.99x,1.0%,-2.0%,1.31,"Kaseya, Inc., iCIMS, Inc., Flexera Software LLC","Kaseya, Inc. (ORANGE, 9 funds, $405.5M FV); iCIMS, Inc. (YELLOW, 7 funds, $344.1M FV); Flexera Software LLC (YELLOW, 7 funds, $453.2M FV)","Reasonable discount and manageable stats, but not compelling enough to outrank the higher-quality anchors.",Either more earnings cushion or a wider discount without credit deterioration.,2026-04-19 20:21
Hold / neutral,MFIC,MidCap Financial Investment Corporation,Hold / monitor,Monitor,6,YELLOW,0.84x,1.00x,3.0%,-3.3%,1.53,"Zendesk, Inc.","Zendesk, Inc. (YELLOW, 7 funds, $609.7M FV)","Not broken, but balance-sheet pressure remains real and the discount alone is not enough yet.",Leverage and NAV stabilizing together without fresh credit leakage.,2026-04-19 20:21
Hold / neutral,MSDL,Morgan Stanley Direct Lending Fund,Hold / starter only,Strong Buy,4,GREEN,0.76x,0.70x,1.2%,,1.20,"Kaseya, Inc., iCIMS, Inc.","Kaseya, Inc. (ORANGE, 9 funds, $405.5M FV); iCIMS, Inc. (YELLOW, 7 funds, $344.1M FV)","Valuation is interesting after the dividend reset, but the post-cut stabilization case still needs proof.",Two cleaner periods of coverage and follow-through after the dividend cut.,2026-04-19 20:21
Underweight / caution,FSK,FS KKR Capital Corp,Underweight / monitor,Caution,11,ORANGE,0.55x,0.86x,4.2%,-3.0%,1.31,"Zendesk, Inc., Flexera Software LLC","Zendesk, Inc. (YELLOW, 7 funds, $609.7M FV); Flexera Software LLC (YELLOW, 7 funds, $453.2M FV)","Cheap for a reason: elevated non-accruals, thin coverage, and a history that warrants skepticism.",A visible recovery in coverage plus a cleaner non-accrual trend.,2026-04-19 20:21
