Ticker,Name,Type,Manager,NAV ($B),Score,Risk Tier,PIK %,NII Cov.,NAV Chg YoY,Non-Accruals (FV),D/E,P/NAV,Asset Cov.,Net Flow (Qtly),Flags,Analyst Notes (excerpt)
TPVG,TriplePoint Venture Growth BDC Corp,listed_bdc,TriplePoint Advisers,0.4,17,RED,20.0%,0.97x,-22.0%,12.0%,1.31x,0.68x,176%,—,NII covers <1.0x distributions; Non-accruals at critical levels; Price/NAV discount >10%; Price/NAV discount >25%; Distribution cut risk elevated; Asset coverage <200% — limited regulatory buffer; Debt/equity >1.25x; NAV down >3% YoY; NAV down >7% YoY; NAV down >15% YoY; Non-accruals >12% of fair value; Non-accruals >3% of fair value; Non-accruals >6% of fair value; PIK income >20% of total income; Concentrated sector under stress; Severe multi-period NAV decline,Severe distress signals. NAV down 22% YoY â€” dramatic erosion. Non-accrual rate of 12% fair value / 19% cost is among t...
PFLT,PennantPark Floating Rate Capital,listed_bdc,PennantPark Investment Advisers,1.0,15,RED,8.0%,0.59x,-7.6%,2.8%,1.61x,0.93x,162%,—,"NII covers <0.70x distributions; NII covers <0.85x distributions; NII covers <1.0x distributions; Asset coverage <200% — limited regulatory buffer; Asset coverage <175% — tight regulatory buffer; Leverage above peer median; Debt/equity >1.50x; Debt/equity >1.25x; NAV down >3% YoY; NAV down >7% YoY; NII coverage collapsing (>0.40x drop, 4Q); Coverage AND leverage both deteriorating; Leverage creeping higher (>0.20x, 4Q); NAV declining >2%/quarter recently",Coverage collapse: rolling 4Q NII coverage dropped from 1.13x (Q1 2024) to 0.59x (Q4 2025) -- a 0.54x deterioration in s...
TCPC,BlackRock TCP Capital Corp,listed_bdc,Tennenbaum Capital Partners (BlackRock),0.6,14,RED,15.0%,1.15x,-5.0%,5.5%,1.73x,0.84x,158%,—,"Price/NAV discount >10%; Distributions partially funded non-NII; Non-accruals persistently elevated; Asset coverage <200% — limited regulatory buffer; Asset coverage <175% — tight regulatory buffer; Debt/equity >1.50x; Debt/equity >1.25x; NAV down >3% YoY; Non-accruals >3% of fair value; PIK income >10% of total income; Leverage surging (>0.40x D/E increase, 4Q); NAV declining >5%/quarter recently",Distribution not fully covered by NII â€” partially funded from portfolio repayments. Elevated non-accruals. NAV decline...
PNNT,PennantPark Investment Corporation,listed_bdc,PennantPark Investment Advisers,0.5,14,RED,11.0%,0.67x,-3.0%,4.0%,1.83x,0.88x,155%,—,"NII covers <0.70x distributions; NII covers <0.85x distributions; NII covers <1.0x distributions; Price/NAV discount >10%; Asset coverage <200% — limited regulatory buffer; Asset coverage <175% — tight regulatory buffer; Debt/equity >1.50x; Debt/equity >1.25x; NAV down >3% YoY; Non-accruals >3% of fair value; PIK income >10% of total income; NII coverage collapsing (>0.40x drop, 4Q); NAV declining >2%/quarter recently",Sister fund to PFLT; middle market generalist. Non-accruals elevated. Discount to NAV.
PSEC,Prospect Capital Corporation,listed_bdc,Prospect Capital Management,3.0,11,ORANGE,20.0%,1.04x,-7.0%,0.9%,0.62x,0.61x,260%,—,Price/NAV discount >10%; Price/NAV discount >25%; Prior distribution cut(s) on record; Reliant on PIK for distribution coverage; NAV down >3% YoY; NAV down >7% YoY; Multi-year NAV erosion pattern; PIK income >20% of total income; Related-party loan concentration flagged; NAV declining >2%/quarter recently,One of the most controversial BDCs. NAV eroded from ~$10.50 (2019) to ~$8.77 (2024). Very large PIK fraction (20%+) mean...
FSK,FS KKR Capital Corp,listed_bdc,FS/KKR Advisor,5.8,10,ORANGE,12.0%,0.86x,-3.0%,4.2%,1.31x,0.88x,177%,—,"NII covers <1.0x distributions; Price/NAV discount >10%; Asset coverage <200% — limited regulatory buffer; Debt/equity >1.25x; NAV down >3% YoY; Non-accruals >3% of fair value; PIK income >10% of total income; Predecessor fund had material issues; NII coverage declining trend (>0.20x, 4Q); NAV declining >2%/quarter recently","Created from merger of FS Investment Corp I, II, III, IV. History of issues with predecessor funds. NAV has trended down..."
SCM,Stellus Capital Investment Corporation,listed_bdc,Stellus Capital Management,0.4,9,ORANGE,8.0%,0.81x,0.0%,2.0%,1.81x,0.96x,155%,—,"NII covers <0.85x distributions; NII covers <1.0x distributions; Asset coverage <200% — limited regulatory buffer; Asset coverage <175% — tight regulatory buffer; Debt/equity >1.50x; Debt/equity >1.25x; NII coverage declining trend (>0.20x, 4Q); Coverage AND leverage both deteriorating; Leverage creeping higher (>0.20x, 4Q)",Small BDC. Thin coverage. Moderate non-accruals.
BCSF,"Bain Capital Specialty Finance, Inc.",listed_bdc,Bain Capital Credit,1.1,7,YELLOW,—,0.54x,-2.4%,0.8%,1.32x,—,176%,—,"NII covers <0.70x distributions; NII covers <0.85x distributions; NII covers <1.0x distributions; Asset coverage <200% — limited regulatory buffer; Debt/equity >1.25x; NII coverage collapsing (>0.40x drop, 4Q)",Coverage collapse: rolling 4Q NII coverage dropped from 1.039x (Q1 2024) to 0.540x (Q4 2025) -- a 0.499x deterioration i...
GSBD,"Goldman Sachs BDC, Inc.",listed_bdc,Goldman Sachs Asset Management,1.4,7,YELLOW,—,0.83x,-5.7%,1.6%,1.32x,—,176%,—,"NII covers <0.85x distributions; NII covers <1.0x distributions; Asset coverage <200% — limited regulatory buffer; Debt/equity >1.25x; NAV down >3% YoY; NII coverage collapsing (>0.40x drop, 4Q)","Goldman Sachs BDC with significant credit deterioration: NAV down 9.5% YoY (March 2025 to December 2025), NII coverage b..."
CCLFX,Cliffwater Corporate Lending Fund,interval_fund,Cliffwater Advisors,28.1,5,YELLOW,2.3%,0.77x,0.0%,—,0.24x,1.00x,517%,-2.5%,NII covers <0.85x distributions; NII covers <1.0x distributions; Distributions partially funded non-NII; Quarterly net investor outflow >1% NAV; Interval fund in net redemption,Largest non-traded private credit interval fund. Q1 2026: first sustained net redemption period in fund history ($2.5B r...
MFIC,MidCap Financial Investment Corporation,listed_bdc,"Apollo Investment Management, L.P.",1.3,5,YELLOW,5.6%,1.00x,-3.3%,2.6%,1.53x,—,165%,—,Asset coverage <200% — limited regulatory buffer; Asset coverage <175% — tight regulatory buffer; Debt/equity >1.50x; Debt/equity >1.25x; NAV down >3% YoY,Formerly Apollo Investment Corporation (AINV); rebranded MidCap Financial Investment Corporation July 2022 (user tag: MI...
CGBD,Carlyle Secured Lending,listed_bdc,Carlyle Investment Management,1.2,4,GREEN,9.0%,0.99x,-2.0%,1.0%,1.31x,0.92x,176%,—,"NII covers <1.0x distributions; Asset coverage <200% — limited regulatory buffer; Debt/equity >1.25x; Leverage creeping higher (>0.20x, 4Q)",Carlyle-backed. Non-accruals above average. Very thin NII coverage.
OCSL,Oaktree Specialty Lending Corporation,listed_bdc,Oaktree Capital Management,1.4,4,GREEN,—,1.04x,-7.5%,5.3%,1.12x,—,189%,—,Asset coverage <200% — limited regulatory buffer; NAV down >3% YoY; NAV down >7% YoY; Non-accruals >3% of fair value,Oaktree-managed BDC. NAV declined 17% from peak (7.5% YoY). Coverage near 1.0x but declining trend. Significant NAV eros...
OBDC,Blue Owl Capital Corporation,listed_bdc,Blue Owl Credit Advisors,7.4,3,GREEN,10.0%,1.02x,-1.0%,1.3%,1.26x,0.99x,180%,—,Asset coverage <200% — limited regulatory buffer; Debt/equity >1.25x; PIK income >10% of total income,Formed via Owl Rock merger. Large upper-middle-market focus. Blue Owl is a substantial asset manager. Generally well-cov...
SLRC,SLR Investment Corp,listed_bdc,SLR Capital Partners,1.9,3,GREEN,6.0%,0.97x,-1.0%,1.5%,1.21x,0.90x,183%,—,NII covers <1.0x distributions; Price/NAV discount >10%; Asset coverage <200% — limited regulatory buffer,ABL-focused BDC. Generally stable. NII coverage exactly at 1x leaves no buffer. Small discount to NAV.
BREIT,Blackstone Real Estate Income Trust,non_traded_reit,Blackstone Real Estate Advisors,55.0,3,GREEN,0.0%,0.90x,-1.0%,—,1.18x,1.00x,185%,0.0%,NII covers <1.0x distributions; Asset coverage <200% — limited regulatory buffer; Prior redemption gate or queue imposed,Reference case: largest non-traded vehicle. Experienced prolonged redemption queue 2022-2024. Blackstone eventually stab...
MSDL,Morgan Stanley Direct Lending Fund,listed_bdc,Morgan Stanley Investment Management,1.8,3,GREEN,—,0.70x,—,1.4%,1.20x,—,183%,—,NII covers <0.85x distributions; NII covers <1.0x distributions; Asset coverage <200% — limited regulatory buffer,NII/distribution coverage ~0.70x -- board cut Q1 2026 dividend 10% to $0.45 from $0.50. NAV eroded for five consecutive ...
NMFC,New Mountain Finance Corporation,listed_bdc,"New Mountain Finance Advisers BDC, L.L.C.",1.2,3,GREEN,9.2%,1.06x,-4.5%,1.4%,1.26x,—,179%,—,Asset coverage <200% — limited regulatory buffer; Debt/equity >1.25x; NAV down >3% YoY,PIK at 9.2% of investment income -- elevated and flagged by management. NAV down 4.5% YoY ($12.06 to $11.52). Signed agr...
OCCI,"OFS Credit Company, Inc.",listed_bdc,"OFS Capital Management, LLC",n/a,3,GREEN,—,0.64x,—,—,—,—,—,—,NII covers <0.70x distributions; NII covers <0.85x distributions; NII covers <1.0x distributions,CLO equity/debt fund -- NOT a direct corporate lender. Invests in CLO equity tranches and subordinated CLO debt; fundame...
BXSL,Blackstone Secured Lending Fund,listed_bdc,Blackstone Credit Advisors,6.2,2,GREEN,5.0%,1.12x,1.0%,0.9%,1.29x,1.04x,177%,—,Asset coverage <200% — limited regulatory buffer; Debt/equity >1.25x,95%+ first-lien portfolio. Blackstone brand and scale. One of the lowest non-accrual rates in the sector. Conservative u...
HTGC,Hercules Capital,listed_bdc,Hercules Capital (internal),2.2,2,GREEN,12.0%,1.05x,3.0%,2.5%,1.03x,1.52x,197%,—,Asset coverage <200% — limited regulatory buffer; PIK income >10% of total income,Internally managed (management alignment). Tech/life science venture lending is higher risk but Hercules has 20+ years o...
GBDC,Golub Capital BDC,listed_bdc,GC Advisors,3.9,2,GREEN,7.0%,0.93x,0.0%,1.0%,1.25x,1.00x,180%,—,NII covers <1.0x distributions; Asset coverage <200% — limited regulatory buffer,Golub is a large private credit manager with focus on tech and software. One-stop lending approach. Generally well-manag...
GAIN,Gladstone Investment Corporation,listed_bdc,Gladstone Management Corporation,0.6,2,GREEN,10.0%,1.00x,4.0%,4.5%,0.96x,1.05x,204%,—,Non-accruals >3% of fair value; PIK income >10% of total income,Hybrid BDC with equity co-investment component. Lower leverage. Gladstone family of funds has had mixed track records hi...
GLAD,Gladstone Capital Corporation,listed_bdc,Gladstone Management Corporation,0.5,2,GREEN,10.0%,1.11x,1.0%,0.1%,0.93x,0.97x,207%,—,"PIK income >10% of total income; Leverage creeping higher (>0.20x, 4Q)",Sister fund to GAIN under Gladstone umbrella. Moderate non-accruals. Coverage at 1x.
CSWC,Capital Southwest Corporation,listed_bdc,Capital Southwest Management Corporation (internal subsidiary),1.5,2,GREEN,13.0%,1.03x,1.0%,1.5%,1.08x,1.08x,193%,—,Asset coverage <200% — limited regulatory buffer; PIK income >10% of total income,Lower middle market BDC managed via internal subsidiary (effectively internally managed). One of few BDCs with history o...
OTF,Blue Owl Technology Finance Corp,listed_bdc,Blue Owl Credit Advisors,8.0,2,GREEN,—,0.95x,1.4%,—,0.78x,—,228%,—,"NII covers <1.0x distributions; NII coverage declining trend (>0.20x, 4Q)",Large tech-focused BDC ($14.7B assets) managed by Blue Owl alongside OBDC. Low leverage (0.78x D/E). NII coverage below ...
ARCC,Ares Capital Corporation,listed_bdc,Ares Capital Management,14.3,1,GREEN,4.9%,1.15x,2.0%,1.5%,1.12x,1.05x,190%,—,Asset coverage <200% — limited regulatory buffer,Largest listed BDC; considered benchmark of the sector. Internally-advised structure avoided; externally managed but sca...
TSLX,"Sixth Street Specialty Lending, Inc.",listed_bdc,Sixth Street Partners,1.6,1,GREEN,—,1.28x,-1.1%,—,1.08x,—,192%,—,Asset coverage <200% — limited regulatory buffer,Sixth Street-managed BDC known for strong credit quality. NII coverage healthy at 1.26x. NAV flat YoY (+0.4%). No non-ac...
SSLP,Sixth Street Lending Partners,interval_fund,"Sixth Street Partners Management Company, LP",n/a,1,GREEN,—,1.00x,—,0.0%,1.10x,1.00x,191%,—,Asset coverage <200% — limited regulatory buffer,Non-traded BDC (institutional). Bond ticker SIXSLP refers to senior unsecured notes (user identifier). 74 portfolio comp...
MAIN,Main Street Capital Corporation,listed_bdc,Main Street Capital (internal),3.0,0,GREEN,4.0%,1.44x,6.0%,2.2%,0.82x,1.70x,222%,—,,Best-in-class governance via internal management. NAV has compounded positively for 15+ years. Low leverage. Very low no...
BCRED,Blackstone Private Credit Fund,interval_fund,Blackstone Credit Advisors,50.0,0,GREEN,8.0%,1.10x,2.0%,—,0.40x,1.00x,350%,1.0%,,Blackstone's flagship private credit interval fund. Very large ($50B+ NAV). Blackstone has historically managed redempti...
PIMCO-FCI,PIMCO Flexible Credit Income Fund,interval_fund,PIMCO,8.0,0,GREEN,5.0%,1.05x,1.0%,—,0.25x,1.00x,500%,0.0%,,PIMCO-managed multi-sector credit interval fund mixing liquid and illiquid credit. PIMCO's strong brand and portfolio ma...
ASIF,Ares Strategic Income Fund,interval_fund,Ares Capital Management LLC,10.8,0,GREEN,—,1.00x,—,—,0.99x,1.00x,201%,—,,Non-traded perpetual-life BDC managed by Ares Capital Management (same manager as ARCC). User identifier: ARESSI. 835 po...
GCRED,Golub Capital Private Credit Fund,interval_fund,GC Advisors LLC (Golub Capital),n/a,0,GREEN,—,1.00x,—,—,1.00x,1.00x,200%,—,,Non-traded BDC managed by Golub Capital. Fiscal year ends September 30 (not December). NOT Goldman Sachs Private Credit ...
HLEND,HPS Corporate Lending Fund,interval_fund,"HPS Investment Partners, LLC",10.7,0,GREEN,—,1.00x,—,—,1.00x,1.00x,200%,—,,Non-traded BDC managed by HPS Investment Partners (acquired by BlackRock in 2025). ~$23B total investments; 96% first-li...
